#{"t_start": 1573248695.7394137, "env_id": null}
r,l,t
7.763808,31,2.992504
9.783552,35,3.395695
7.158607,29,3.532312
9.71147,32,3.678395
8.528484,33,3.817148
10.699151,34,3.957834
13.435451,45,4.130322
13.939867,48,4.336479
10.151225,33,4.481674
8.628778,28,4.587905
7.181393,29,4.717039
8.436819,30,4.825984
7.826231,30,4.958911
14.407989,49,5.15816
5.788262,26,5.258862
7.154613,28,5.365885
47.867031,147,6.00994
7.489306,29,6.12717
9.21367,35,6.30153
10.090266,35,6.458577
6.526418,26,6.577341
9.249897,35,6.726641
8.58558,28,6.833687
8.587653,34,6.992341
10.996669,40,7.140487
9.800699,34,7.281519
7.067744,25,7.382034
6.98902,26,7.505361
10.385515,33,7.64462
8.674351,32,7.769983
6.010596,27,7.923421
9.840018,34,8.07985
8.57458,32,8.231447
7.880001,28,8.351126
44.14281,143,8.997322
9.728927,33,9.115418
6.843374,27,9.20835
9.464056,34,9.326836
9.673439,34,9.441838
9.554101,34,9.559981
9.617334,35,9.708881
10.528823,36,9.865086
8.569921,29,9.980161
8.73529,33,10.121398
8.447171,30,10.264484
10.907584,36,10.415138
7.268994,28,10.552484
7.006413,27,10.662261
47.936717,135,11.178966
7.297888,26,11.26506
12.030185,40,11.412167
8.369287,34,11.526385
7.435155,31,11.632055
8.509142,32,11.772116
10.779751,36,11.904437
9.871793,35,12.030051
12.779486,43,12.18242
6.894547,29,12.297206
6.633043,25,12.392156
10.429935,37,12.520064
10.805536,36,12.676598
9.24721,30,12.806391
8.312765,31,12.959314
8.545189,30,13.109614
