policy_entropy,time_elapsed,n_updates,ep_reward_mean,fps,explained_variance,serial_timesteps,policy_loss,value_loss,approxkl,total_timesteps,clipfrac,ep_len_mean
1.4063534,5.245208740234375e-06,1,70.4617978,927,0.014294445514678955,2048,-0.0056800134,4.265789,0.0029189633,2048,0.028808594,376.6
1.3933512,2.2090017795562744,2,59.394742,1057,-0.198944091796875,4096,-0.0016798368,4.0071707,0.002720547,4096,0.016210938,313.3076923076923
1.3938614,4.146454095840454,3,54.007194999999996,969,-0.12864983081817627,6144,-0.0025577708,4.302963,0.0022342715,6144,0.017480468,279.22727272727275
1.4018285,6.260765314102173,4,50.447817774193545,980,-0.09597170352935791,8192,-0.0034927842,4.219119,0.0027346252,8192,0.028857421,257.80645161290323
1.4075525,8.35030198097229,5,50.447817774193545,933,0.14899688959121704,10240,-0.0038610226,4.008439,0.00410006,10240,0.045654297,257.80645161290323
1.4067684,10.544490337371826,6,68.24529190909091,1035,0.1300845742225647,12288,-0.009169439,3.140151,0.0060976124,12288,0.08046875,351.969696969697
1.4203929,12.523725986480713,7,80.79925844117646,1071,0.031040728092193604,14336,-0.005875381,3.935735,0.0050605177,14336,0.062158205,415.3235294117647
1.444216,14.434865474700928,8,80.79925844117646,985,-0.046092867851257324,16384,-0.0025580102,4.1990356,0.0032642893,16384,0.035302736,415.3235294117647
1.4440787,16.513805389404297,9,80.79925844117646,887,0.03171283006668091,18432,-0.0018094385,4.425091,0.0031438686,18432,0.029052734,415.3235294117647
1.449477,18.82276749610901,10,80.79925844117646,1033,0.052505552768707275,20480,-0.005682639,4.4603643,0.00575475,20480,0.076171875,415.3235294117647
1.4590393,20.812958002090454,11,80.79925844117646,898,-0.06111454963684082,22528,-0.0014988588,5.110689,0.003062665,22528,0.025537109,415.3235294117647
1.4486091,23.093124389648438,12,80.79925844117646,977,0.16974002122879028,24576,-0.0012099822,4.8997526,0.0028348598,24576,0.026464844,415.3235294117647
1.4309747,25.18917155265808,13,80.79925844117646,1033,0.03417694568634033,26624,-0.0027062693,3.9151719,0.0034588533,26624,0.028466797,415.3235294117647
1.4208747,27.171284914016724,14,80.79925844117646,1128,0.12485700845718384,28672,-0.0029018067,4.110885,0.0035568024,28672,0.03720703,415.3235294117647
1.4194576,28.98735475540161,15,181.76804925714285,1162,-0.01009213924407959,30720,-0.003617825,2.0981553,0.003588854,30720,0.042236328,836.7714285714286
1.4144385,30.7495379447937,16,190.30099263888889,1165,0.20581865310668945,32768,-0.0026640436,1.233312,0.004301699,32768,0.05205078,880.8611111111111
1.4092194,32.5161292552948,17,190.30099263888889,1159,0.22022229433059692,34816,-0.0037004643,1.2045023,0.005050017,34816,0.053808592,880.8611111111111
1.4047093,34.28346109390259,18,206.983998027027,1157,0.09761053323745728,36864,-0.00071483897,1.4544799,0.0021474492,36864,0.018408203,965.5405405405405
1.4145391,36.05300712585449,19,206.983998027027,1149,0.3228995203971863,38912,-0.0019124502,0.9308239,0.003773033,38912,0.041503906,965.5405405405405
1.4287828,37.835160970687866,20,206.983998027027,1113,0.3780142068862915,40960,-0.0024784864,1.2495768,0.0028297242,40960,0.027636718,965.5405405405405
1.4310299,39.675660371780396,21,206.983998027027,1142,0.3015945553779602,43008,-0.0027724693,1.0346447,0.0033689323,43008,0.030566406,965.5405405405405
1.4323745,41.46814823150635,22,206.983998027027,1169,0.33977067470550537,45056,-0.0033665053,0.9009517,0.0044307807,45056,0.05341797,965.5405405405405
1.4509633,43.21957325935364,23,206.983998027027,1106,0.5022300779819489,47104,-0.0036254046,1.2947499,0.004858421,47104,0.053271484,965.5405405405405
1.4563229,45.07190012931824,24,206.983998027027,1180,0.3366391658782959,49152,-0.0008864431,1.002541,0.00220794,49152,0.016796876,965.5405405405405
1.4304625,46.80797362327576,25,206.983998027027,1016,0.34761184453964233,51200,-0.0029945297,0.90887606,0.0039852234,51200,0.03149414,965.5405405405405
1.4052552,48.88154745101929,26,206.983998027027,1069,0.3093884587287903,53248,-0.0014887104,0.6445208,0.003074101,53248,0.027392577,965.5405405405405
1.3970432,50.79710650444031,27,206.983998027027,1074,0.4697100520133972,55296,-0.0035101168,0.4291276,0.004056917,55296,0.044921875,965.5405405405405
1.397664,52.704545974731445,28,206.983998027027,1130,0.39636123180389404,57344,-0.0032135937,0.696936,0.0034224316,57344,0.034765624,965.5405405405405
1.4032203,54.51703119277954,29,206.983998027027,1092,0.463373601436615,59392,-0.0023305693,0.6836239,0.0036829687,59392,0.039404295,965.5405405405405
1.3997884,56.39301514625549,30,206.983998027027,1119,0.2542872428894043,61440,-0.0030728453,0.2805127,0.003530729,61440,0.03364258,965.5405405405405
1.3908379,58.22362518310547,31,206.983998027027,1194,0.3294299244880676,63488,-0.006260462,0.17231868,0.005390828,63488,0.0597168,965.5405405405405
1.3772638,59.938390016555786,32,206.983998027027,1235,0.36405056715011597,65536,-0.0053027775,0.11759547,0.004409307,65536,0.05625,965.5405405405405
1.3800257,61.59656119346619,33,206.983998027027,1191,0.4145069718360901,67584,-0.004326849,0.12590669,0.0033720243,67584,0.038916014,965.5405405405405
1.384604,63.31613779067993,34,206.983998027027,1139,0.4592167139053345,69632,-0.005098655,0.32704052,0.003942055,69632,0.043847658,965.5405405405405
1.3855658,65.11392974853516,35,206.983998027027,1054,0.6101596355438232,71680,-0.0046731336,0.37445396,0.0045485897,71680,0.051611327,965.5405405405405
1.3840389,67.05715298652649,36,206.983998027027,1176,0.5636232495307922,73728,-0.004311581,0.26686844,0.004546604,73728,0.052490234,965.5405405405405
1.3906381,68.7982530593872,37,206.983998027027,1098,0.5880271792411804,75776,-0.0039952304,0.18520015,0.00589083,75776,0.076416016,965.5405405405405
1.400478,70.66326308250427,38,206.983998027027,1157,0.6529143750667572,77824,-0.0031018523,0.25354382,0.0043928605,77824,0.049121093,965.5405405405405
1.4041396,72.44133067131042,39,206.983998027027,1174,0.5908311903476715,79872,-0.0018553659,0.19101258,0.0029647506,79872,0.031640626,965.5405405405405
1.4107451,74.18581056594849,40,206.983998027027,1109,0.6125156283378601,81920,-0.0028327103,0.12484332,0.0041401186,81920,0.047167968,965.5405405405405
1.3985908,76.03267669677734,41,206.983998027027,1142,0.6203007698059082,83968,-0.004038699,0.11963161,0.003973285,83968,0.038085938,965.5405405405405
1.3814856,77.82660555839539,42,206.983998027027,1118,0.6690393686294556,86016,-0.0019501362,0.13849379,0.0038023125,86016,0.04091797,965.5405405405405
1.3704311,79.65790700912476,43,206.983998027027,1075,0.6451383829116821,88064,-0.0032681953,0.105043456,0.003417564,88064,0.035742186,965.5405405405405
1.3514541,81.56353235244751,44,206.983998027027,1061,0.7095685601234436,90112,-0.00061602716,0.09432807,0.002327784,90112,0.017285157,965.5405405405405
1.3332431,83.49329829216003,45,206.983998027027,1123,0.7249085903167725,92160,-0.0014224078,0.08755587,0.0027760086,92160,0.023339843,965.5405405405405
1.343102,85.31674313545227,46,206.983998027027,1106,0.6780699789524078,94208,-0.0046851593,0.09689233,0.0055531994,94208,0.070214845,965.5405405405405
1.3524854,87.16894865036011,47,206.983998027027,1106,0.7721729874610901,96256,-0.0013120518,0.041112028,0.0026662224,96256,0.024902344,965.5405405405405
1.3493197,89.02003693580627,48,206.983998027027,1128,0.7583671659231186,98304,-0.0017262155,0.042065687,0.0027906639,98304,0.028125,965.5405405405405
1.348519,90.83522439002991,49,206.983998027027,1095,0.7603544890880585,100352,-0.0028044893,0.02754403,0.0033386685,100352,0.036083985,965.5405405405405
1.3469039,92.70644760131836,50,206.983998027027,1136,0.7620052248239517,102400,-0.0035081622,0.021182368,0.0050072903,102400,0.061425783,965.5405405405405
